image_id,identity,condition,valid,embedding_drift_cosine,embedding_drift_euclidean,error_reason
Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul,noise_n08,1,0.0130708218,3.8592367172,
Abdullah_Gul/Abdullah_Gul_0002,Abdullah_Gul,noise_n08,1,0.0207613707,4.7885885239,
Abdullah_Gul/Abdullah_Gul_0003,Abdullah_Gul,noise_n08,1,0.0254525542,4.9945473671,
Abdullah_Gul/Abdullah_Gul_0004,Abdullah_Gul,noise_n08,1,0.0117587447,3.5739629269,
Abdullah_Gul/Abdullah_Gul_0005,Abdullah_Gul,noise_n08,1,0.0210555792,4.7257647514,
Abdullah_Gul/Abdullah_Gul_0006,Abdullah_Gul,noise_n08,1,0.0183904767,4.2581725121,
Abdullah_Gul/Abdullah_Gul_0007,Abdullah_Gul,noise_n08,1,0.0138689280,3.7416098118,
Abdullah_Gul/Abdullah_Gul_0008,Abdullah_Gul,noise_n08,1,0.0256334543,5.0931921005,
Abdullah_Gul/Abdullah_Gul_0009,Abdullah_Gul,noise_n08,1,0.0166333914,4.4388532639,
Abdullah_Gul/Abdullah_Gul_0010,Abdullah_Gul,noise_n08,1,0.0196914673,4.4699487686,
Abdullah_Gul/Abdullah_Gul_0011,Abdullah_Gul,noise_n08,1,0.0162664652,4.0985360146,
Abdullah_Gul/Abdullah_Gul_0012,Abdullah_Gul,noise_n08,1,0.0113009214,3.3829746246,
Abdullah_Gul/Abdullah_Gul_0013,Abdullah_Gul,noise_n08,1,0.0137401819,3.6362652779,
Abdullah_Gul/Abdullah_Gul_0014,Abdullah_Gul,noise_n08,1,0.0205932856,4.6179227829,
Abdullah_Gul/Abdullah_Gul_0015,Abdullah_Gul,noise_n08,1,0.0205887556,5.3259682655,
Abdullah_Gul/Abdullah_Gul_0016,Abdullah_Gul,noise_n08,1,0.0191445947,4.8588733673,
Abdullah_Gul/Abdullah_Gul_0017,Abdullah_Gul,noise_n08,1,0.0124604106,3.7601177692,
Abdullah_Gul/Abdullah_Gul_0018,Abdullah_Gul,noise_n08,1,0.0225123763,4.7488350868,
Abdullah_Gul/Abdullah_Gul_0019,Abdullah_Gul,noise_n08,1,0.0204920769,4.7051200867,
Adrien_Brody/Adrien_Brody_0001,Adrien_Brody,noise_n08,1,0.0160417557,4.3796715736,
Adrien_Brody/Adrien_Brody_0002,Adrien_Brody,noise_n08,1,0.0172433853,4.4053711891,
Adrien_Brody/Adrien_Brody_0003,Adrien_Brody,noise_n08,1,0.0127974749,3.8871757984,
Adrien_Brody/Adrien_Brody_0004,Adrien_Brody,noise_n08,1,0.0230140090,5.5066809654,
Adrien_Brody/Adrien_Brody_0005,Adrien_Brody,noise_n08,1,0.0179966092,4.5508842468,
Adrien_Brody/Adrien_Brody_0006,Adrien_Brody,noise_n08,1,0.0199030638,4.6530580521,
Adrien_Brody/Adrien_Brody_0007,Adrien_Brody,noise_n08,1,0.0300983787,6.0443544388,
Adrien_Brody/Adrien_Brody_0008,Adrien_Brody,noise_n08,1,0.0259352326,5.5964822769,
Adrien_Brody/Adrien_Brody_0009,Adrien_Brody,noise_n08,1,0.0222817659,4.9642572403,
Adrien_Brody/Adrien_Brody_0010,Adrien_Brody,noise_n08,1,0.0281108618,5.5283641815,
Adrien_Brody/Adrien_Brody_0011,Adrien_Brody,noise_n08,1,0.0347789526,5.5135922432,
Adrien_Brody/Adrien_Brody_0012,Adrien_Brody,noise_n08,1,0.0207067728,4.7026786804,
Alejandro_Toledo/Alejandro_Toledo_0001,Alejandro_Toledo,noise_n08,1,0.0183985829,4.4472503662,
Alejandro_Toledo/Alejandro_Toledo_0002,Alejandro_Toledo,noise_n08,1,0.0169001222,4.3533825874,
Alejandro_Toledo/Alejandro_Toledo_0003,Alejandro_Toledo,noise_n08,1,0.0145210028,4.4017057419,
Alejandro_Toledo/Alejandro_Toledo_0004,Alejandro_Toledo,noise_n08,1,0.0141147971,3.5937337875,
Alejandro_Toledo/Alejandro_Toledo_0005,Alejandro_Toledo,noise_n08,1,0.0145899057,3.7926950455,
Alejandro_Toledo/Alejandro_Toledo_0006,Alejandro_Toledo,noise_n08,1,0.0259001255,4.7091479301,
Alejandro_Toledo/Alejandro_Toledo_0007,Alejandro_Toledo,noise_n08,1,0.0156134367,4.1446065903,
Alejandro_Toledo/Alejandro_Toledo_0008,Alejandro_Toledo,noise_n08,1,0.0151931047,4.2342519760,
Alejandro_Toledo/Alejandro_Toledo_0009,Alejandro_Toledo,noise_n08,1,0.0126693845,3.7268564701,
Alejandro_Toledo/Alejandro_Toledo_0010,Alejandro_Toledo,noise_n08,1,0.0194691420,4.7249674797,
Alejandro_Toledo/Alejandro_Toledo_0011,Alejandro_Toledo,noise_n08,1,0.0206147432,4.8832759857,
Alejandro_Toledo/Alejandro_Toledo_0012,Alejandro_Toledo,noise_n08,1,0.0168429017,4.2926959991,
Alejandro_Toledo/Alejandro_Toledo_0013,Alejandro_Toledo,noise_n08,1,0.0165220499,4.4608354568,
Alejandro_Toledo/Alejandro_Toledo_0014,Alejandro_Toledo,noise_n08,1,0.0161163211,4.0741324425,
Alejandro_Toledo/Alejandro_Toledo_0015,Alejandro_Toledo,noise_n08,1,0.0194648504,5.0641865730,
Alejandro_Toledo/Alejandro_Toledo_0016,Alejandro_Toledo,noise_n08,1,0.0105972886,3.4200839996,
Alejandro_Toledo/Alejandro_Toledo_0017,Alejandro_Toledo,noise_n08,1,0.0200540423,4.7268404961,
Alejandro_Toledo/Alejandro_Toledo_0018,Alejandro_Toledo,noise_n08,1,0.0304892659,6.3009858131,
Alejandro_Toledo/Alejandro_Toledo_0019,Alejandro_Toledo,noise_n08,1,0.0228714943,4.6367826462,
Alejandro_Toledo/Alejandro_Toledo_0020,Alejandro_Toledo,noise_n08,1,0.0200716853,4.9868583679,
Alejandro_Toledo/Alejandro_Toledo_0021,Alejandro_Toledo,noise_n08,1,0.0254744887,5.2961740494,
Alejandro_Toledo/Alejandro_Toledo_0022,Alejandro_Toledo,noise_n08,1,0.0240739584,4.8586301804,
Alejandro_Toledo/Alejandro_Toledo_0023,Alejandro_Toledo,noise_n08,1,0.0127152801,4.0445108414,
Alejandro_Toledo/Alejandro_Toledo_0024,Alejandro_Toledo,noise_n08,1,0.0249880552,5.5248150826,
Alejandro_Toledo/Alejandro_Toledo_0025,Alejandro_Toledo,noise_n08,1,0.0135809779,4.3450179100,
Alejandro_Toledo/Alejandro_Toledo_0026,Alejandro_Toledo,noise_n08,1,0.0285702944,5.5323066711,
Alejandro_Toledo/Alejandro_Toledo_0027,Alejandro_Toledo,noise_n08,1,0.0134838223,3.9356544018,
Alejandro_Toledo/Alejandro_Toledo_0028,Alejandro_Toledo,noise_n08,1,0.0161168575,4.3938064575,
Alejandro_Toledo/Alejandro_Toledo_0029,Alejandro_Toledo,noise_n08,1,0.0178878903,4.0460495949,
Alejandro_Toledo/Alejandro_Toledo_0030,Alejandro_Toledo,noise_n08,1,0.0197851658,4.5740733147,
Alejandro_Toledo/Alejandro_Toledo_0031,Alejandro_Toledo,noise_n08,1,0.0236173272,5.4832220078,
Alejandro_Toledo/Alejandro_Toledo_0032,Alejandro_Toledo,noise_n08,1,0.0137871504,4.0712122917,
Alejandro_Toledo/Alejandro_Toledo_0033,Alejandro_Toledo,noise_n08,1,0.0216678381,4.7646913528,
Alejandro_Toledo/Alejandro_Toledo_0034,Alejandro_Toledo,noise_n08,1,0.0830040574,8.8576202393,
Alejandro_Toledo/Alejandro_Toledo_0035,Alejandro_Toledo,noise_n08,1,0.0186375380,4.7196869850,
Alejandro_Toledo/Alejandro_Toledo_0036,Alejandro_Toledo,noise_n08,1,0.0143435597,3.6896610260,
Alejandro_Toledo/Alejandro_Toledo_0037,Alejandro_Toledo,noise_n08,1,0.0187952518,4.2076473236,
Alejandro_Toledo/Alejandro_Toledo_0038,Alejandro_Toledo,noise_n08,1,0.0184347034,4.8477787971,
Alejandro_Toledo/Alejandro_Toledo_0039,Alejandro_Toledo,noise_n08,1,0.0137995481,3.7695038319,
Alvaro_Uribe/Alvaro_Uribe_0001,Alvaro_Uribe,noise_n08,1,0.0164709091,3.5192611217,
Alvaro_Uribe/Alvaro_Uribe_0002,Alvaro_Uribe,noise_n08,1,0.0351819992,5.7721228600,
Alvaro_Uribe/Alvaro_Uribe_0003,Alvaro_Uribe,noise_n08,1,0.0334436893,5.2069935799,
Alvaro_Uribe/Alvaro_Uribe_0004,Alvaro_Uribe,noise_n08,1,0.0303680897,4.8492894173,
Alvaro_Uribe/Alvaro_Uribe_0005,Alvaro_Uribe,noise_n08,1,0.0197271109,4.4955587387,
