image_id,identity,condition,valid,embedding_drift_cosine,embedding_drift_euclidean,error_reason
Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul,noise_n08_steps2,1,0.0764645934,9.0659675598,
Abdullah_Gul/Abdullah_Gul_0002,Abdullah_Gul,noise_n08_steps2,1,0.1262207031,11.6576337814,
Abdullah_Gul/Abdullah_Gul_0003,Abdullah_Gul,noise_n08_steps2,1,0.1111122370,10.1899099350,
Abdullah_Gul/Abdullah_Gul_0004,Abdullah_Gul,noise_n08_steps2,1,0.0837881565,9.0781803131,
Abdullah_Gul/Abdullah_Gul_0005,Abdullah_Gul,noise_n08_steps2,1,0.1047462225,10.1356334686,
Abdullah_Gul/Abdullah_Gul_0006,Abdullah_Gul,noise_n08_steps2,1,0.0823367238,8.7159070969,
Abdullah_Gul/Abdullah_Gul_0007,Abdullah_Gul,noise_n08_steps2,1,0.0869165659,9.1276865005,
Abdullah_Gul/Abdullah_Gul_0008,Abdullah_Gul,noise_n08_steps2,1,0.1037739515,9.7431411743,
Abdullah_Gul/Abdullah_Gul_0009,Abdullah_Gul,noise_n08_steps2,1,0.1104075313,11.1412143707,
Abdullah_Gul/Abdullah_Gul_0010,Abdullah_Gul,noise_n08_steps2,1,0.0982271433,9.6993961334,
Abdullah_Gul/Abdullah_Gul_0011,Abdullah_Gul,noise_n08_steps2,1,0.0924285650,9.6047859192,
Abdullah_Gul/Abdullah_Gul_0012,Abdullah_Gul,noise_n08_steps2,1,0.0612662435,7.6526846886,
Abdullah_Gul/Abdullah_Gul_0013,Abdullah_Gul,noise_n08_steps2,1,0.0898764729,8.8063383102,
Abdullah_Gul/Abdullah_Gul_0014,Abdullah_Gul,noise_n08_steps2,1,0.0746863484,8.5228757858,
Abdullah_Gul/Abdullah_Gul_0015,Abdullah_Gul,noise_n08_steps2,1,0.1389364600,13.3676223755,
Abdullah_Gul/Abdullah_Gul_0016,Abdullah_Gul,noise_n08_steps2,1,0.1150913239,12.0799961090,
Abdullah_Gul/Abdullah_Gul_0017,Abdullah_Gul,noise_n08_steps2,1,0.1045989394,10.5621414185,
Abdullah_Gul/Abdullah_Gul_0018,Abdullah_Gul,noise_n08_steps2,1,0.0891070962,9.2839298248,
Abdullah_Gul/Abdullah_Gul_0019,Abdullah_Gul,noise_n08_steps2,1,0.0824344158,9.0021963120,
Adrien_Brody/Adrien_Brody_0001,Adrien_Brody,noise_n08_steps2,1,0.1544139385,12.8770179749,
Adrien_Brody/Adrien_Brody_0002,Adrien_Brody,noise_n08_steps2,1,0.1587154865,12.6331148148,
