image_id,identity,condition,valid,embedding_drift_cosine,embedding_drift_euclidean,error_reason
Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul,noise_n32,1,0.1100116372,11.7907304764,
Abdullah_Gul/Abdullah_Gul_0002,Abdullah_Gul,noise_n32,1,0.1296669245,12.4652767181,
Abdullah_Gul/Abdullah_Gul_0003,Abdullah_Gul,noise_n32,1,0.1892081499,13.9167652130,
Abdullah_Gul/Abdullah_Gul_0004,Abdullah_Gul,noise_n32,1,0.1093599796,11.3886852264,
Abdullah_Gul/Abdullah_Gul_0005,Abdullah_Gul,noise_n32,1,0.1719251871,14.0011014938,
Abdullah_Gul/Abdullah_Gul_0006,Abdullah_Gul,noise_n32,1,0.1182092428,11.4615335464,
Abdullah_Gul/Abdullah_Gul_0007,Abdullah_Gul,noise_n32,1,0.1045584679,11.2364864349,
Abdullah_Gul/Abdullah_Gul_0008,Abdullah_Gul,noise_n32,1,0.1533474326,13.5514450073,
Abdullah_Gul/Abdullah_Gul_0009,Abdullah_Gul,noise_n32,1,0.1197254658,12.1524238586,
Abdullah_Gul/Abdullah_Gul_0010,Abdullah_Gul,noise_n32,1,0.1281327605,11.7561473846,
Abdullah_Gul/Abdullah_Gul_0011,Abdullah_Gul,noise_n32,1,0.1132049561,11.6651802063,
Abdullah_Gul/Abdullah_Gul_0012,Abdullah_Gul,noise_n32,1,0.0975705981,10.8451232910,
Abdullah_Gul/Abdullah_Gul_0013,Abdullah_Gul,noise_n32,1,0.0912928581,9.8828105927,
Abdullah_Gul/Abdullah_Gul_0014,Abdullah_Gul,noise_n32,1,0.1492534280,12.7871875763,
Abdullah_Gul/Abdullah_Gul_0015,Abdullah_Gul,noise_n32,1,0.1079931259,12.3457050323,
Abdullah_Gul/Abdullah_Gul_0016,Abdullah_Gul,noise_n32,1,0.1868861318,15.2011203766,
Abdullah_Gul/Abdullah_Gul_0017,Abdullah_Gul,noise_n32,1,0.0870034695,10.0656719208,
Abdullah_Gul/Abdullah_Gul_0018,Abdullah_Gul,noise_n32,1,0.1212059259,11.4294099808,
Abdullah_Gul/Abdullah_Gul_0019,Abdullah_Gul,noise_n32,1,0.1178762913,12.4257736206,
Adrien_Brody/Adrien_Brody_0001,Adrien_Brody,noise_n32,1,0.1398420334,12.6120491028,
Adrien_Brody/Adrien_Brody_0002,Adrien_Brody,noise_n32,1,0.1802383661,13.9688949585,
Adrien_Brody/Adrien_Brody_0003,Adrien_Brody,noise_n32,1,0.1005589962,10.9685935974,
Adrien_Brody/Adrien_Brody_0004,Adrien_Brody,noise_n32,1,0.1317948103,13.0730943680,
