pair_id,left_image_id,right_image_id,left_identity,right_identity,pair_type,label,valid,similarity_score,prediction,error_reason
pair_00000000,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0007,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.6609404087,,
pair_00000001,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0008,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.5574388504,,
pair_00000002,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0009,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.4806542099,,
pair_00000003,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0011,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.5720053911,,
pair_00000004,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0012,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.6516649723,,
pair_00000005,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0013,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.6694583297,,
pair_00000006,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0017,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.7016215324,,
pair_00000007,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0018,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.5329511166,,
pair_00000008,Abdullah_Gul/Abdullah_Gul_0001,Abdullah_Gul/Abdullah_Gul_0019,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.5864366889,,
pair_00000009,Abdullah_Gul/Abdullah_Gul_0002,Abdullah_Gul/Abdullah_Gul_0003,Abdullah_Gul,Abdullah_Gul,genuine,1,1,0.6202170253,,
