image_id,identity,relative_path,file_stem,include_in_protocol
AJ_Cook/AJ_Cook_0001,AJ_Cook,AJ_Cook/AJ_Cook_0001.png,AJ_Cook_0001,0
AJ_Lamas/AJ_Lamas_0001,AJ_Lamas,AJ_Lamas/AJ_Lamas_0001.png,AJ_Lamas_0001,0
Aaron_Eckhart/Aaron_Eckhart_0001,Aaron_Eckhart,Aaron_Eckhart/Aaron_Eckhart_0001.png,Aaron_Eckhart_0001,0
Aaron_Guiel/Aaron_Guiel_0001,Aaron_Guiel,Aaron_Guiel/Aaron_Guiel_0001.png,Aaron_Guiel_0001,0
Aaron_Patterson/Aaron_Patterson_0001,Aaron_Patterson,Aaron_Patterson/Aaron_Patterson_0001.png,Aaron_Patterson_0001,0
Aaron_Peirsol/Aaron_Peirsol_0001,Aaron_Peirsol,Aaron_Peirsol/Aaron_Peirsol_0001.png,Aaron_Peirsol_0001,0
Aaron_Peirsol/Aaron_Peirsol_0002,Aaron_Peirsol,Aaron_Peirsol/Aaron_Peirsol_0002.png,Aaron_Peirsol_0002,0
Aaron_Peirsol/Aaron_Peirsol_0003,Aaron_Peirsol,Aaron_Peirsol/Aaron_Peirsol_0003.png,Aaron_Peirsol_0003,0
Aaron_Peirsol/Aaron_Peirsol_0004,Aaron_Peirsol,Aaron_Peirsol/Aaron_Peirsol_0004.png,Aaron_Peirsol_0004,0
Aaron_Pena/Aaron_Pena_0001,Aaron_Pena,Aaron_Pena/Aaron_Pena_0001.png,Aaron_Pena_0001,0
Aaron_Sorkin/Aaron_Sorkin_0001,Aaron_Sorkin,Aaron_Sorkin/Aaron_Sorkin_0001.png,Aaron_Sorkin_0001,0
Aaron_Sorkin/Aaron_Sorkin_0002,Aaron_Sorkin,Aaron_Sorkin/Aaron_Sorkin_0002.png,Aaron_Sorkin_0002,0
Aaron_Tippin/Aaron_Tippin_0001,Aaron_Tippin,Aaron_Tippin/Aaron_Tippin_0001.png,Aaron_Tippin_0001,0
Abba_Eban/Abba_Eban_0001,Abba_Eban,Abba_Eban/Abba_Eban_0001.png,Abba_Eban_0001,0
